tau,thr_f1,thr_rho
0.0,0.8566487756467981,1.0
1.0,0.8581022579395181,0.9493666666666668
2.0,0.8592179385345864,0.8994833333333331
3.0,0.8601528455713943,0.8504000000000002
4.0,0.8608084856514417,0.8013166666666663
5.0,0.861416797292772,0.7515666666666669
6.0,0.861944986727453,0.7007166666666665
7.0,0.8622508984538196,0.6512499999999997
8.0,0.8627602108671989,0.6012166666666668
9.0,0.8631295985920292,0.55055
10.0,0.8636156123522564,0.5015333333333334
11.0,0.8639086990850621,0.45270000000000044
12.0,0.8643077352037839,0.40218333333333334
13.0,0.8647195790212641,0.3513833333333334
14.0,0.8651544587491986,0.3016000000000001
15.0,0.8656168506569988,0.2510166666666667
16.0,0.866084155619578,0.19999999999999982
17.0,0.8666182624860319,0.15073333333333333
18.0,0.8671030166804264,0.09991666666666661
19.0,0.8674501382330326,0.048966666666666686
20.0,0.8678981004804548,0.0
